"PSM.Score","rf"
135.0931,"hs0041.raw"
132.6688,"hs0041.raw"
150.6793,"hs0041.raw"
246.655,"hs0041.raw"
299.5142,"hs0041.raw"
158.1168,"hs0041.raw"
302.2173,"hs0041.raw"
350,"hs0041.raw"
348.4464,"hs0041.raw"
257.9861,"hs0041.raw"
191.0501,"hs0041.raw"
220.8865,"hs0041.raw"
210.5541,"hs0041.raw"
273.2427,"hs0041.raw"
298.6684,"hs0041.raw"
172.2164,"hs0041.raw"
214.1951,"hs0041.raw"
315.2146,"hs0041.raw"
221.0359,"hs0041.raw"
231.4183,"hs0041.raw"
350,"hs0041.raw"
153.1338,"hs0041.raw"
251.016,"hs0041.raw"
336.6987,"hs0041.raw"
213.1243,"hs0041.raw"
202.2787,"hs0041.raw"
152.8271,"hs0041.raw"
183.9015,"hs0041.raw"
251.016,"hs0041.raw"
232.634,"hs0041.raw"
152.8271,"hs0041.raw"
290.9741,"hs0041.raw"
235.3578,"hs0041.raw"
249.2051,"hs0041.raw"
210.5541,"hs0041.raw"
258.0047,"hs0041.raw"
258.6342,"hs0041.raw"
328.9517,"hs0041.raw"
250.5384,"hs0041.raw"
307.1073,"hs0041.raw"
236.1668,"hs0041.raw"
245.2964,"hs0041.raw"
213.6,"hs0041.raw"
190.7876,"hs0041.raw"
271.7122,"hs0041.raw"
217.8612,"hs0041.raw"
245.2964,"hs0041.raw"
195.509,"hs0041.raw"
243.949,"hs0041.raw"
266.4175,"hs0041.raw"
197.9075,"hs0041.raw"
266.7061,"hs0041.raw"
266.7226,"hs0041.raw"
294.0901,"hs0041.raw"
222.2905,"hs0041.raw"
200.6151,"hs0041.raw"
249.0146,"hs0041.raw"
192.917,"hs0041.raw"
279.6562,"hs0041.raw"
161.1145,"hs0041.raw"
145.2977,"hs0041.raw"
251.1683,"hs0041.raw"
138.8026,"hs0041.raw"
191.9028,"hs0041.raw"
277.5374,"hs0041.raw"
220.8865,"hs0041.raw"
232.634,"hs0041.raw"
314.1201,"hs0041.raw"
209.932,"hs0041.raw"
243.949,"hs0041.raw"
313.6419,"hs0041.raw"
230.7205,"hs0041.raw"
276.7405,"hs0041.raw"
214.3683,"hs0041.raw"
221.7969,"hs0041.raw"
208.3991,"hs0041.raw"
266.9784,"hs0041.raw"
220.8865,"hs0041.raw"
191.9028,"hs0041.raw"
261.9492,"hs0041.raw"
249.959,"hs0041.raw"
276.7405,"hs0041.raw"
191.0501,"hs0041.raw"
196.2737,"hs0041.raw"
222.4066,"hs0041.raw"
222.5763,"hs0041.raw"
136.7858,"hs0041.raw"
148.6833,"hs0041.raw"
122.7482,"hs0041.raw"
188.5272,"hs0041.raw"
225.9083,"hs0041.raw"
247.7699,"hs0041.raw"
287.0392,"hs0041.raw"
249.4579,"hs0041.raw"
123.0939,"hs0041.raw"
176.1172,"hs0041.raw"
350,"hs0041.raw"
232.634,"hs0041.raw"
218.1111,"hs0041.raw"
258.1602,"hs0041.raw"
254.8843,"hs0041.raw"
248.2071,"hs0041.raw"
263.0005,"hs0041.raw"
273.8814,"hs0041.raw"
228.8014,"hs0041.raw"
201.3539,"hs0041.raw"
238.4892,"hs0041.raw"
101.7665,"hs0041.raw"
202.2787,"hs0041.raw"
344.7906,"hs0041.raw"
230.7205,"hs0041.raw"
