"PSM.Score","rf"
170.9468,"hs0100.raw"
130.4606,"hs0100.raw"
191.3056,"hs0100.raw"
350,"hs0100.raw"
328.1186,"hs0100.raw"
217.9524,"hs0100.raw"
350,"hs0100.raw"
270.8214,"hs0100.raw"
250.8044,"hs0100.raw"
261.7467,"hs0100.raw"
254.6902,"hs0100.raw"
350,"hs0100.raw"
138.831,"hs0100.raw"
275.3731,"hs0100.raw"
315.1051,"hs0100.raw"
250.8034,"hs0100.raw"
242.795,"hs0100.raw"
220.7101,"hs0100.raw"
158.2899,"hs0100.raw"
298.4566,"hs0100.raw"
348.1994,"hs0100.raw"
174.2473,"hs0100.raw"
242.3691,"hs0100.raw"
323.166,"hs0100.raw"
276.5389,"hs0100.raw"
180.9101,"hs0100.raw"
245.0291,"hs0100.raw"
287.3303,"hs0100.raw"
291.9327,"hs0100.raw"
262.8064,"hs0100.raw"
214.0027,"hs0100.raw"
293.8784,"hs0100.raw"
262.525,"hs0100.raw"
164.3352,"hs0100.raw"
222.0968,"hs0100.raw"
198.4175,"hs0100.raw"
215.4931,"hs0100.raw"
248.0132,"hs0100.raw"
248.8382,"hs0100.raw"
232.7373,"hs0100.raw"
136.1134,"hs0100.raw"
205.9152,"hs0100.raw"
337.3954,"hs0100.raw"
222.9418,"hs0100.raw"
305.8437,"hs0100.raw"
150.2124,"hs0100.raw"
184.6101,"hs0100.raw"
203.1107,"hs0100.raw"
342.5779,"hs0100.raw"
176.834,"hs0100.raw"
220.7101,"hs0100.raw"
299.309,"hs0100.raw"
287.3303,"hs0100.raw"
298.4566,"hs0100.raw"
205.8397,"hs0100.raw"
313.3951,"hs0100.raw"
135.9336,"hs0100.raw"
185.5268,"hs0100.raw"
270.3383,"hs0100.raw"
350,"hs0100.raw"
258.855,"hs0100.raw"
303.1424,"hs0100.raw"
315.0029,"hs0100.raw"
217.9524,"hs0100.raw"
262.8064,"hs0100.raw"
268.427,"hs0100.raw"
88.08389,"hs0100.raw"
128.3155,"hs0100.raw"
322.7169,"hs0100.raw"
350,"hs0100.raw"
278.8923,"hs0100.raw"
307.1919,"hs0100.raw"
224.1888,"hs0100.raw"
248.9937,"hs0100.raw"
311.8055,"hs0100.raw"
223.4823,"hs0100.raw"
350,"hs0100.raw"
180.0866,"hs0100.raw"
350,"hs0100.raw"
210.3955,"hs0100.raw"
197.7488,"hs0100.raw"
313.4492,"hs0100.raw"
226.2152,"hs0100.raw"
254.2725,"hs0100.raw"
222.2304,"hs0100.raw"
270.8214,"hs0100.raw"
337.2321,"hs0100.raw"
325.0853,"hs0100.raw"
108.436,"hs0100.raw"
302.3196,"hs0100.raw"
170.0114,"hs0100.raw"
231.4663,"hs0100.raw"
334.9595,"hs0100.raw"
350,"hs0100.raw"
182.1856,"hs0100.raw"
215.2435,"hs0100.raw"
191.9891,"hs0100.raw"
313.4492,"hs0100.raw"
276.5464,"hs0100.raw"
283.0165,"hs0100.raw"
108.1421,"hs0100.raw"
350,"hs0100.raw"
337.3954,"hs0100.raw"
260.2964,"hs0100.raw"
241.7189,"hs0100.raw"
228.6486,"hs0100.raw"
247.5585,"hs0100.raw"
337.3954,"hs0100.raw"
258.1755,"hs0100.raw"
274.4527,"hs0100.raw"
295.9132,"hs0100.raw"
322.8876,"hs0100.raw"
197.7488,"hs0100.raw"
286.8274,"hs0100.raw"
228.625,"hs0100.raw"
134.2979,"hs0100.raw"
295.2811,"hs0100.raw"
112.7974,"hs0100.raw"
122.4589,"hs0100.raw"
350,"hs0100.raw"
313.3631,"hs0100.raw"
234.7567,"hs0100.raw"
211.6914,"hs0100.raw"
165.1933,"hs0100.raw"
248.0132,"hs0100.raw"
177.9176,"hs0100.raw"
104.0105,"hs0100.raw"
298.4566,"hs0100.raw"
172.0754,"hs0100.raw"
350,"hs0100.raw"
148.0435,"hs0100.raw"
298.4566,"hs0100.raw"
312.1177,"hs0100.raw"
239.8202,"hs0100.raw"
350,"hs0100.raw"
280.8878,"hs0100.raw"
249.7475,"hs0100.raw"
220.7874,"hs0100.raw"
293.2568,"hs0100.raw"
320.5741,"hs0100.raw"
157.6974,"hs0100.raw"
319.3779,"hs0100.raw"
295.2944,"hs0100.raw"
170.0114,"hs0100.raw"
